ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Fitness_Score,Origem_Historica
MOL_00040,CCC(=O)c1c(C2CCC(C)C2C(C)=O)nc(C)c(C)c1C(=O)CC,-9.453,-6.176,3.2769999999999992,-5.1264199999999995,Gen 98
MOL_00041,COc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C(C)=O)c1O,-9.274,-5.931,3.342999999999999,-5.122299999999999,Gen 60
MOL_00042,Cc1nc(O)c(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1C,-9.49,-6.216,3.274,-5.117020000000001,Gen 24
MOL_00043,CC(=O)c1cncc(C2CC2)c1C1CCC(C)C1C(C)=O,-9.314,-6.021,3.293,-5.0993,Gen 73
MOL_00044,COc1ncc(C)c(C=CF)c1C1CCC(C)C1C(=O)CCC(C)C,-9.433,-6.192,3.241,-5.08978,Gen 30
MOL_00045,Cc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C=NO)c1C,-9.187,-5.869,3.318,-5.0786999999999995,Evolução Interativa Gen 6
MOL_00046,CCC(=O)c1cncc(C2CC2)c1C1CCC(C)C1C(=O)CC,-9.232,-5.934,3.297999999999999,-5.0782,Gen 73
MOL_00047,CCC(=O)C1C(C)CCC1c1cncc(C2CC2)c1C#N,-9.368,-6.13,3.2380000000000004,-5.077000000000001,Gen 13
MOL_00048,CCCC(=O)C1C(C)CCC1c1c(C#N)ccnc1C(F)(F)F,-9.294,-6.027,3.2670000000000003,-5.075100000000001,Gen 11
MOL_00049,CC(C)CC(=O)C1C(C)CCC1c1c(C#N)ccnc1C1CC1,-9.595,-6.302,3.293000000000001,-5.068080000000002,Gen 21
MOL_00050,CCc1nccc(C(N)=O)c1C1CCC(C)C1C(=O)C(C)C(C)C,-9.476,-6.241,3.235000000000001,-5.065895000000002,Gen 50
MOL_00051,CC(=O)c1cncc(C2C(C)CCC2C(C)=O)c1C1CC1,-9.278,-6.02,3.258000000000001,-5.064000000000001,Gen 67
MOL_00052,COC1CCC(C)C1c1c(C2CC2)cncc1C1CC1,-9.219,-5.949,3.27,-5.0546999999999995,Gen 79
MOL_00053,COc1c(C=CF)cc(C(=O)CCC(C)C)nc1C(C)=O,-9.428,-6.221,3.2070000000000007,-5.048095000000002,Gen 144
MOL_00054,CCCCCCC(=O)C1C(C)CCC1c1c(OC)nc(OC)c(F)c1C=CF,-9.232,-5.979,3.2529999999999992,-5.0466999999999995,Gen 29
MOL_00055,CCC(C)CC(=O)C1C(C)CCC1c1cnc(C)cc1C=NO,-9.422,-6.218,3.2040000000000006,-5.046280000000001,Fase 5_Híbridos Geração 3
MOL_00056,CC(=O)c1c(F)cncc1C1CCC(C)C1C(N)=O,-9.141,-5.885,3.256,-5.0215000000000005,Gen 108
MOL_00057,COc1cc(C=CF)c(C(=O)CC(C)C)c(C2CCC(C)C2C(C)=O)n1,-9.478,-6.268,3.21,-5.02078,Gen 68
MOL_00058,Cc1nccc(C=NO)c1C1CCC(C)C1C(=O)CC(C)C,-9.313,-6.151,3.162,-5.007295000000001,Fase 4_Mutantes Geração 2
MOL_00059,CC(C)C(=O)C1C(C)CCC1c1c(C#N)ccnc1C(F)(F)F,-9.324,-6.17,3.154,-5.003,Gen 17
MOL_00060,CCC(=O)c1cc(C)ncc1C1CCC(C)C1C(=O)CC(C)C,-9.099,-5.864,3.2350000000000003,-4.9942,Gen 51
MOL_00061,CCCC(=O)C1C(C)CCC1c1cnc(C)cc1C#N,-8.958,-5.666,3.292,-4.9918,Fase 4_Mutantes Geração 2
MOL_00062,Cc1cc(C(N)=O)c(C2CCC(C)C2C(=O)CC(C)C)cn1,-9.257,-6.098,3.159,-4.9884,Gen 32
MOL_00063,COc1nc(C(C)=O)cc(C=CF)c1C1CCC(C)C1OC,-9.237,-6.098,3.139,-4.968400000000001,Gen 159
MOL_00064,Cc1cc(C=NO)c(C2CCC(C)C2C(=O)CC(C)C)c(C2CC2)n1,-9.145,-5.972,3.172999999999999,-4.9646,Gen 24
MOL_00065,COc1nc(F)c(F)c(C=CF)c1C1CCC(C)C1C(=O)CCC(C)C,-9.665,-6.37,3.294999999999999,-4.964,Gen 32
MOL_00066,CC(C)CC(=O)C1C(C)CCC1c1cnccc1C=NO,-9.4,-6.258,3.142,-4.961080000000002,Fase 1_Lote Inicial
MOL_00067,CC(C)CC(=O)C1C(C)CCC1c1cnccc1C#N,-8.822,-5.517,3.305,-4.960099999999999,Fase 4_Mutantes Geração 2
MOL_00068,CC(=O)c1c(F)cnc(C)c1C1CCC(C)C1C(=O)C(C)C(C)C,-9.225,-6.098,3.127,-4.9564,Gen 50
MOL_00069,COc1nc(C(=O)CC(C)C)cc(C=CF)c1C1CCC(C)C1OC,-9.234,-6.116,3.1180000000000003,-4.952800000000001,Gen 159
MOL_00070,CCC(C)C(=O)C1C(C)CCC1c1cnccc1C#N,-8.65,-5.285,3.365,-4.9505,Fase 4_Mutantes Geração 2
MOL_00071,CC(=O)c1c(C2CCC(C)C2C(=O)CC(C)C)cnc(C2CC2)c1O,-9.981,-6.469,3.512,-4.943895,Gen 56
MOL_00072,CC(C)C(=O)C1C(F)CCC1c1cnccc1C=CF,-9.064,-5.899,3.165,-4.9347,Fase 1_Lote Inicial
MOL_00073,COc1nc(C)cc(C(C)=O)c1C1CCC(C)C1C(=O)C(C)C(C)C,-9.429,-6.292,3.1370000000000005,-4.923780000000002,Gen 57
MOL_00074,COc1ncc(C2CCC(C)C2C(=O)CC(C)C)c(C(C)=O)c1F,-9.089,-5.956,3.133,-4.9198,Gen 76
MOL_00075,CCC(=O)C1C(C)CCC1c1cncc(C2CC2)c1C1CC1,-9.59,-6.36,3.2299999999999995,-4.9175,Gen 51
MOL_00076,CC(=O)C1CCC(C)C1c1cncc(C2CC2)c1C1CC1,-9.646,-6.38,3.266000000000001,-4.915500000000002,Gen 67
MOL_00077,CCC(C)CC(=O)C1C(C)CCC1c1cnc(F)c(OC)c1C(C)=O,-8.856,-5.638,3.218,-4.9094,Gen 43
MOL_00078,CCCC(=O)C1C(C)CCC1c1cnccc1C=NO,-9.016,-5.873,3.143,-4.9049000000000005,Fase 4_Mutantes Geração 2
MOL_00079,CCC1CCC(c2cnc(C)cc2C=NO)C1C(=O)CC(C)C,-9.257,-6.201,3.056,-4.903295000000001,Fase 5_Híbridos Geração 3
MOL_00080,COC1C(C)CCC1c1c(O)nc(C)c(O)c1C(=O)CC(C)C,-9.664,-6.39,3.274,-4.903000000000001,Gen 129
MOL_00081,CC(=O)c1c(F)c(C)nc(O)c1C1CCC(C)C1C(=O)CC(C)C,-9.652,-6.388,3.264,-4.8971800000000005,Gen 159
