current_panel_key,current_inchikey,legacy_inchikey,match_type,similarity,legacy_source,legacy_record_id,historical_label
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,ADJQARFBFHNDLK-UHFFFAOYSA-N,NO_MATCH,0.085106,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-ADJQARFBFHNDLK-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,ADNFTDSADNEQKV-UHFFFAOYSA-N,NO_MATCH,0.111111,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-ADNFTDSADNEQKV-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AEASSGGITMCXQY-UHFFFAOYSA-N,NO_MATCH,0.078431,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AEASSGGITMCXQY-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AEDIXYWIVPYNBI-UHFFFAOYSA-N,NO_MATCH,0.067568,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AEDIXYWIVPYNBI-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AEDVQRBUFSGOIS-UHFFFAOYSA-N,NO_MATCH,0.109890,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AEDVQRBUFSGOIS-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AEJILMJISZUSQP-UHFFFAOYSA-N,NO_MATCH,0.112245,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AEJILMJISZUSQP-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AEMUOGYCGJPXPC-UHFFFAOYSA-N,NO_MATCH,0.116883,formolecular/csv_elite_farma/RANKING_FARMACOS_ELITE_ADMET.csv,LEGACY-INCHIKEY-AEMUOGYCGJPXPC-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AEQCPPUGTOMGAL-UHFFFAOYSA-N,NO_MATCH,0.102041,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AEQCPPUGTOMGAL-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AERDHGCOKAKBIG-UHFFFAOYSA-N,NO_MATCH,0.098901,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AERDHGCOKAKBIG-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFDJLLKEHQEYBQ-UHFFFAOYSA-N,NO_MATCH,0.090909,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFDJLLKEHQEYBQ-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFDQEHOUEUVIHV-UHFFFAOYSA-N,NO_MATCH,0.141304,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFDQEHOUEUVIHV-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFHFYWLYFGBJMU-UHFFFAOYSA-N,NO_MATCH,0.150538,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFHFYWLYFGBJMU-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFHGTLHBAHTQNP-UHFFFAOYSA-N,NO_MATCH,0.117021,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFHGTLHBAHTQNP-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFHSPUAQMUOKFY-UHFFFAOYSA-N,NO_MATCH,0.103093,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFHSPUAQMUOKFY-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFNSLWGSONKPBX-UHFFFAOYSA-N,NO_MATCH,0.117021,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFNSLWGSONKPBX-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFSOJYPTJOINAD-UHFFFAOYSA-N,NO_MATCH,0.104167,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFSOJYPTJOINAD-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFUCMQODXNNOEE-UHFFFAOYSA-N,NO_MATCH,0.104167,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFUCMQODXNNOEE-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFWNFJHIBBNJFE-UHFFFAOYSA-N,NO_MATCH,0.108696,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFWNFJHIBBNJFE-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFXMGUGIPQYERW-UHFFFAOYSA-N,NO_MATCH,0.085106,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFXMGUGIPQYERW-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AFZWKGNMLZLMFD-UHFFFAOYSA-N,NO_MATCH,0.090000,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AFZWKGNMLZLMFD-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AGIMBQDDDXWKPH-UHFFFAOYSA-N,NO_MATCH,0.109890,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AGIMBQDDDXWKPH-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AGNSHYFQEJTXPF-UHFFFAOYSA-N,NO_MATCH,0.100000,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AGNSHYFQEJTXPF-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AGRAPCNPEFFZAY-UHFFFAOYSA-N,NO_MATCH,0.118280,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AGRAPCNPEFFZAY-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHCVXNFVLVNEJP-UHFFFAOYSA-N,NO_MATCH,0.112245,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHCVXNFVLVNEJP-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHIYLZVOIGOUDQ-UHFFFAOYSA-N,NO_MATCH,0.073684,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHIYLZVOIGOUDQ-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHJYNGGSYCUUJU-UHFFFAOYSA-N,NO_MATCH,0.100000,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHJYNGGSYCUUJU-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHKBNSUFLMEGMP-UHFFFAOYSA-N,NO_MATCH,0.102041,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHKBNSUFLMEGMP-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHLWKGCYHYWBIB-UHFFFAOYSA-N,NO_MATCH,0.108696,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHLWKGCYHYWBIB-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHMXEKIAAYFGFL-UHFFFAOYSA-N,NO_MATCH,0.114583,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHMXEKIAAYFGFL-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AHQLJUARKPCPBV-UHFFFAOYSA-N,NO_MATCH,0.086022,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AHQLJUARKPCPBV-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AICDAGRMEFRIOG-UHFFFAOYSA-N,NO_MATCH,0.131868,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AICDAGRMEFRIOG-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AIOXEHSKPKWQER-UHFFFAOYSA-N,NO_MATCH,0.098901,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AIOXEHSKPKWQER-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AIZXYUCIAWXLKL-UHFFFAOYSA-N,NO_MATCH,0.095745,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AIZXYUCIAWXLKL-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJBCMVMGZRNALM-UHFFFAOYSA-N,NO_MATCH,0.087912,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJBCMVMGZRNALM-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJCXVIANAHQQLB-UHFFFAOYSA-N,NO_MATCH,0.130435,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJCXVIANAHQQLB-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJDRWSAJCVBFNG-UHFFFAOYSA-N,NO_MATCH,0.115385,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJDRWSAJCVBFNG-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJEXESQSZRGVNK-UHFFFAOYSA-N,NO_MATCH,0.112245,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJEXESQSZRGVNK-UHFFFAOYSA-N,
A0B0,DRIAWXDDGSORDT-KKUQBAQOSA-N,AJGDNMJHQNUZJR-UHFFFAOYSA-N,NO_MATCH,0.133333,formolecular/novo_horizonte/banco_mestre_unificado.csv,LEGACY-INCHIKEY-AJGDNMJHQNUZJR-UHFFFAOYSA-N,
