legacy_record_id,inchikey,source_file,source_role,compound,filtered,farma_elite,top_hit,nh_4ey7,nh_isolated,master
LEGACY-INCHIKEY-YEKTZRCZCCGAJM-UHFFFAOYSA-N,YEKTZRCZCCGAJM-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YEKTZRCZCCGAJM-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YFNPLMDBEDUMKI-UHFFFAOYSA-N,YFNPLMDBEDUMKI-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YFNPLMDBEDUMKI-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YFOWTOKKPQEWRV-UHFFFAOYSA-N,YFOWTOKKPQEWRV-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YFOWTOKKPQEWRV-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YFPFQSWGVNIHFW-UHFFFAOYSA-N,YFPFQSWGVNIHFW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YFPFQSWGVNIHFW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YFUCLJZSOYHAIL-UHFFFAOYSA-N,YFUCLJZSOYHAIL-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YFUCLJZSOYHAIL-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YFUZZODMFVTLSE-UHFFFAOYSA-N,YFUZZODMFVTLSE-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YFUZZODMFVTLSE-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YFZIKCHPKDRKMU-UHFFFAOYSA-N,YFZIKCHPKDRKMU-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YFZIKCHPKDRKMU-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YGLJSISNGPLXMO-UHFFFAOYSA-N,YGLJSISNGPLXMO-UHFFFAOYSA-N,formolecular/csv_elite_farma/RANKING_FARMACOS_ELITE_ADMET.csv,FARMA_ELITE,YGLJSISNGPLXMO-UHFFFAOYSA-N,0,1,0,0,0,0
LEGACY-INCHIKEY-YGMFTTZEXIAFEW-UHFFFAOYSA-N,YGMFTTZEXIAFEW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YGMFTTZEXIAFEW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YGRGFLHSEKQDHK-UHFFFAOYSA-N,YGRGFLHSEKQDHK-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YGRGFLHSEKQDHK-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YGSONOSRJPCKOY-UHFFFAOYSA-N,YGSONOSRJPCKOY-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YGSONOSRJPCKOY-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YGUJBSDRAISEOF-UHFFFAOYSA-N,YGUJBSDRAISEOF-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YGUJBSDRAISEOF-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YGXPYSNWWSLCHM-UHFFFAOYSA-N,YGXPYSNWWSLCHM-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YGXPYSNWWSLCHM-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YHDIPRBPISKATH-UHFFFAOYSA-N,YHDIPRBPISKATH-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YHDIPRBPISKATH-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YHLLZTIOAXYUSS-UHFFFAOYSA-N,YHLLZTIOAXYUSS-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YHLLZTIOAXYUSS-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YHUCKFGRQGLKOE-UHFFFAOYSA-N,YHUCKFGRQGLKOE-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YHUCKFGRQGLKOE-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YHWMZVUCMGFUIV-UHFFFAOYSA-N,YHWMZVUCMGFUIV-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YHWMZVUCMGFUIV-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YHZHOOAUJOWQHF-UHFFFAOYSA-N,YHZHOOAUJOWQHF-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YHZHOOAUJOWQHF-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YICDTNOGHXERSX-UHFFFAOYSA-N,YICDTNOGHXERSX-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YICDTNOGHXERSX-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YIGWFCNBACUAHP-UHFFFAOYSA-N,YIGWFCNBACUAHP-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YIGWFCNBACUAHP-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YIHXGZFNCGRXDE-UHFFFAOYSA-N,YIHXGZFNCGRXDE-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YIHXGZFNCGRXDE-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YIJCGQVGHAMOQW-UHFFFAOYSA-N,YIJCGQVGHAMOQW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YIJCGQVGHAMOQW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YIKBVBCZOFUVRW-UHFFFAOYSA-N,YIKBVBCZOFUVRW-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YIKBVBCZOFUVRW-UHFFFAOYSA-N,0,0,0,0,0,1
LEGACY-INCHIKEY-YIMCHKCCRHWKTQ-UHFFFAOYSA-N,YIMCHKCCRHWKTQ-UHFFFAOYSA-N,formolecular/csv_elite_farma/RANKING_FARMACOS_ELITE_ADMET.csv,FARMA_ELITE,YIMCHKCCRHWKTQ-UHFFFAOYSA-N,0,1,0,0,0,0
LEGACY-INCHIKEY-YIZKFYPIWNFWQA-UHFFFAOYSA-N,YIZKFYPIWNFWQA-UHFFFAOYSA-N,formolecular/novo_horizonte/banco_mestre_unificado.csv,MASTER_UNIFIED,YIZKFYPIWNFWQA-UHFFFAOYSA-N,0,0,0,0,0,1
