panel_key,compound_id,variant_id,factor_a,factor_b,isomeric_smiles,inchikey,formula,heavy_atom_count,source_measurement_transfer_allowed
A0B0,MOLDISC-011-JE2-286E6F2BE8,A0B0-CONTROL,CONTROL,CONTROL,CC1(C)SCN(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2)[C@@H]1C(=O)NCc1ccccc1,DRIAWXDDGSORDT-KKUQBAQOSA-N,C30H33N3O5S,39,False
A1B0,MOLDISC-014-SOURCE-DELTA-OH,A1B0-DELTA-OH,DELTA-OH,CONTROL,CC1(C)SCN(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2)[C@@H]1C(=O)NCc1ccccc1,NAZMDUVPQSKJEQ-KKUQBAQOSA-N,C30H33N3O4S,38,False
A0B1,MOLDISC-014-SOURCE-DELTA-NSUB,A0B1-DELTA-NSUB,CONTROL,DELTA-NSUB,CC(C)(C)NC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2)CSC1(C)C,DMSDTDPQGPRTNA-FDFHNCONSA-N,C27H35N3O5S,36,False
A1B1,MOLDISC-014-SOURCE-DELTA-BOTH,A1B1-DELTA-BOTH,DELTA-OH,DELTA-NSUB,CC(C)(C)NC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2)CSC1(C)C,URHJIBSBOJFXDI-FDFHNCONSA-N,C27H35N3O4S,35,False
