ID,SMILES,Peso_Molar,Qtd_Aneis,LogP,TPSA,Complexidade,Score_QED,OB_Pct,Energia_3D_Kcal,Num_S,Num_Si,Num_B,Num_P,Num_Cl,Categoria,Num_N,IA_Pred_QED,IA_Pred_OB,IA_Pred_Vol,IA_Pred_Nutri,IA_Pred_TPSA
Molecula_Util_759479,NCCC#N,70.095,-0.141,0.466,49.81,-159.78,2.0,0.0,Alimentos/Aromas,,,,0.0,,Energia/Aeroespacial,0.0,0.9873828,-0.027480505,96.47569,0.008712272,48.528877
Molecula_Util_759743,NC1CCCC1C1CCCC1C,167.296,2.55,0.638,26.02,-215.19,1.0,0.0,Biologia/Farmácia,,,,0.0,,Biologia/Farmácia,0.0,1.0,-0.0018331223,96.64116,0.008187896,25.519497
Molecula_Util_938770,CC1CCCC1C1CCCC1N,167.296,2.55,0.638,26.02,-215.19,1.0,0.0,Biologia/Farmácia,,,,0.0,,Biologia/Farmácia,0.0,1.0,-0.0018331223,96.64116,0.008187896,25.519497
Molecula_Util_808380,OCCN,61.084,-1.063,0.406,46.25,-91.68,1.0,0.0,Alimentos/Aromas,,,,0.0,,Biologia/Farmácia,0.0,0.9967813,-0.025775775,96.82008,0.00808403,44.49375
Molecula_Util_778039,NCCO,61.084,-1.063,0.406,46.25,-91.68,1.0,0.0,Alimentos/Aromas,,,,0.0,,Biologia/Farmácia,0.0,0.9967813,-0.025775775,96.82008,0.00808403,44.49375
