ID_Mestre,SMILES,1EVE_Eficacia,5W8K_Risco,Indice_Seletividade,Origem_Historica
MOL_00975,N#CC1CCC(c2cnccc2C2CC2)C1C(=O)C=O,-7.597,-5.899,1.698,Fase 2_Seletividade
MOL_00976,CCC(=O)C1C(C=O)CCC1c1cnccc1F,-7.597,-5.98,1.617,Fase 2_Seletividade
MOL_00977,Cc1ccncc1C1CCC(F)C1C(=O)C=O,-7.595,-5.854,1.741,Fase 2_Seletividade
MOL_00978,N#Cc1ccncc1C1CCC(C=O)C1C(=O)C=O,-7.595,-5.955,1.64,Fase 2_Seletividade
MOL_00979,CCC(=O)C1C(F)CCC1c1cnccc1O,-7.595,-6.001,1.594,Fase 2_Seletividade
MOL_00980,CCC1CCC(c2cnccc2C=O)C1C(=O)C1CC1,-7.595,-6.021,1.574,Fase 2_Seletividade
MOL_00981,O=C(O)C(=O)C1C(CF)CCC1c1cnccc1S,-7.592,-5.8,1.792,Fase 2_Seletividade
MOL_00982,CCOC(=O)C1C(CC)CCC1c1cnccc1O,-7.59,-5.597,1.993,Fase 2_Seletividade
MOL_00983,CCC(=O)C1C(CF)CCC1c1cnccc1C,-7.59,-5.967,1.623,Fase 2_Seletividade
MOL_00984,[C-]#[N+]c1ccncc1C1CCC(CC)C1C(=O)CCC,-7.589,-6.065,1.524,Fase 1_Lote Inicial
MOL_00985,O=C(C1CCC1)C1C(S)CCC1c1cnccc1I,-7.588,-6.019,1.569,Fase 2_Seletividade
MOL_00986,O=C(O)C1C(CF)CCC1c1cnccc1O,-7.588,-6.552,1.036,Fase 2_Seletividade
MOL_00987,N#Cc1ccncc1C1CCC(O)C1C(=O)C1CC1,-7.587,-6.522,1.065,Fase 2_Seletividade
MOL_00988,N#Cc1ccncc1C1CCC(CF)C1C(=O)O,-7.586,-6.043,1.543,Fase 2_Seletividade
MOL_00989,CCOC(=O)C1C(O)CCC1c1cnccc1C#N,-7.585,-6.301,1.284,Fase 2_Seletividade
MOL_00990,CCOC(=O)C1C(N)CCC1c1cnccc1C=O,-7.584,-5.794,1.79,Fase 2_Seletividade
MOL_00991,CC(C)C(=O)C1C(N)CCC1c1cnccc1C(C)C,-7.584,-6.156,1.428,Fase 2_Seletividade
MOL_00992,CCNC(=O)C1C(O)CCC1c1cnccc1C(F)F,-7.584,-6.591,0.993,Fase 2_Seletividade
MOL_00993,CC(C)c1ccncc1C1CCC(S)C1C(=O)O,-7.583,-6.404,1.179,Fase 2_Seletividade
MOL_00994,CCCC(=O)C1C(F)CCC1c1cnccc1C1CO1,-7.582,-5.719,1.863,Fase 1_Lote Inicial
MOL_00995,COC(=O)C1C(C=O)CCC1c1cnccc1C(F)F,-7.582,-5.828,1.754,Fase 2_Seletividade
