panel_key,candidate_id,variant_id,factor_a,factor_b,canonical_isomeric_smiles,inchikey,formula,heavy_atom_count,parent_program_ids,parent_scientific_hashes,source_measurement_transfer_allowed
A0B0,MOLDISC-011-JE2-286E6F2BE8,A0B0-CONTROL,CONTROL,CONTROL,"CC1(C)SCN(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2)[C@@H]1C(=O)NCc1ccccc1",DRIAWXDDGSORDT-KKUQBAQOSA-N,C30H33N3O5S,39,"MOLDISC-014;MOLDISC-018","f940d95189616131829a22f9e68a53a960eddf8fd05f5fd7ebac43ece85481ed;7b900a85ef70b13120107ab7dca7e5c21da34053942b48379c4c4f51e418086a",false
A1B0,MOLDISC-014-SOURCE-DELTA-OH,A1B0-DELTA-OH,DELTA-OH,CONTROL,"CC1(C)SCN(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2)[C@@H]1C(=O)NCc1ccccc1",NAZMDUVPQSKJEQ-KKUQBAQOSA-N,C30H33N3O4S,38,"MOLDISC-014;MOLDISC-018","f940d95189616131829a22f9e68a53a960eddf8fd05f5fd7ebac43ece85481ed;7b900a85ef70b13120107ab7dca7e5c21da34053942b48379c4c4f51e418086a",false
A0B1,MOLDISC-014-SOURCE-DELTA-NSUB,A0B1-DELTA-NSUB,CONTROL,DELTA-NSUB,"CC(C)(C)NC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(O)c2)CSC1(C)C",DMSDTDPQGPRTNA-FDFHNCONSA-N,C27H35N3O5S,36,"MOLDISC-014;MOLDISC-018","f940d95189616131829a22f9e68a53a960eddf8fd05f5fd7ebac43ece85481ed;7b900a85ef70b13120107ab7dca7e5c21da34053942b48379c4c4f51e418086a",false
A1B1,MOLDISC-014-SOURCE-DELTA-BOTH,A1B1-DELTA-BOTH,DELTA-OH,DELTA-NSUB,"CC(C)(C)NC(=O)[C@H]1N(C(=O)[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2ccccc2)CSC1(C)C",URHJIBSBOJFXDI-FDFHNCONSA-N,C27H35N3O4S,35,"MOLDISC-014;MOLDISC-018","f940d95189616131829a22f9e68a53a960eddf8fd05f5fd7ebac43ece85481ed;7b900a85ef70b13120107ab7dca7e5c21da34053942b48379c4c4f51e418086a",false
